order_id,customer,product,quantity,unit_price,order_time,status
O1001,李四,诊断服务,2,99.9,2026-02-20 09:15:00,待付款
O1002,王五,模型训练,3,149.9,2026-02-20 09:30:00,已取消
O1003,赵六,数据评估,4,199.9,2026-02-20 09:45:00,处理中
O1004,孙七,结果导出,5,249.9,2026-02-20 10:00:00,已支付
O1005,周八,预测服务,1,299.9,2026-02-20 10:15:00,待付款
O1006,吴九,诊断服务,2,49.9,2026-02-20 10:30:00,已取消
O1007,郑十,模型训练,3,99.9,2026-02-20 10:45:00,处理中
O1008,张三,数据评估,4,149.9,2026-02-20 11:00:00,已支付
O1009,李四,结果导出,5,199.9,2026-02-20 11:15:00,待付款
O1010,王五,预测服务,1,249.9,2026-02-20 11:30:00,已取消
O1011,赵六,诊断服务,2,299.9,2026-02-20 11:45:00,处理中
O1012,孙七,模型训练,3,49.9,2026-02-20 12:00:00,已支付
O1013,周八,数据评估,4,99.9,2026-02-20 12:15:00,待付款
O1014,吴九,结果导出,5,149.9,2026-02-20 12:30:00,已取消
O1015,郑十,预测服务,1,199.9,2026-02-20 12:45:00,处理中
O1016,张三,诊断服务,2,249.9,2026-02-20 13:00:00,已支付
O1017,李四,模型训练,3,299.9,2026-02-20 13:15:00,待付款
O1018,王五,数据评估,4,49.9,2026-02-20 13:30:00,已取消
O1019,赵六,结果导出,5,99.9,2026-02-20 13:45:00,处理中
O1020,孙七,预测服务,1,149.9,2026-02-20 14:00:00,已支付
O1021,周八,诊断服务,2,199.9,2026-02-20 14:15:00,待付款
O1022,吴九,模型训练,3,249.9,2026-02-20 14:30:00,已取消
O1023,郑十,数据评估,4,299.9,2026-02-20 14:45:00,处理中
O1024,张三,结果导出,5,49.9,2026-02-20 15:00:00,已支付
O1025,李四,预测服务,1,99.9,2026-02-20 15:15:00,待付款
O1026,王五,诊断服务,2,149.9,2026-02-20 15:30:00,已取消
O1027,赵六,模型训练,3,199.9,2026-02-20 15:45:00,处理中
O1028,孙七,数据评估,4,249.9,2026-02-20 16:00:00,已支付
O1029,周八,结果导出,5,299.9,2026-02-20 16:15:00,待付款
O1030,吴九,预测服务,1,49.9,2026-02-20 16:30:00,已取消
O1031,郑十,诊断服务,2,99.9,2026-02-20 16:45:00,处理中
O1032,张三,模型训练,3,149.9,2026-02-20 17:00:00,已支付
O1033,李四,数据评估,4,199.9,2026-02-20 17:15:00,待付款
O1034,王五,结果导出,5,249.9,2026-02-20 17:30:00,已取消
O1035,赵六,预测服务,1,299.9,2026-02-20 17:45:00,处理中
O1036,孙七,诊断服务,2,49.9,2026-02-20 18:00:00,已支付
O1037,周八,模型训练,3,99.9,2026-02-20 18:15:00,待付款
O1038,吴九,数据评估,4,149.9,2026-02-20 18:30:00,已取消
O1039,郑十,结果导出,5,199.9,2026-02-20 18:45:00,处理中
O1040,张三,预测服务,1,249.9,2026-02-20 19:00:00,已支付
O1041,李四,诊断服务,2,299.9,2026-02-20 19:15:00,待付款
O1042,王五,模型训练,3,49.9,2026-02-20 19:30:00,已取消
O1043,赵六,数据评估,4,99.9,2026-02-20 19:45:00,处理中
O1044,孙七,结果导出,5,149.9,2026-02-20 20:00:00,已支付
O1045,周八,预测服务,1,199.9,2026-02-20 20:15:00,待付款
O1046,吴九,诊断服务,2,249.9,2026-02-20 20:30:00,已取消
O1047,郑十,模型训练,3,299.9,2026-02-20 20:45:00,处理中
O1048,张三,数据评估,4,49.9,2026-02-20 21:00:00,已支付
O1049,李四,结果导出,5,99.9,2026-02-20 21:15:00,待付款
O1050,王五,预测服务,1,149.9,2026-02-20 21:30:00,已取消
O1051,赵六,诊断服务,2,199.9,2026-02-20 21:45:00,处理中
O1052,孙七,模型训练,3,249.9,2026-02-20 22:00:00,已支付
O1053,周八,数据评估,4,299.9,2026-02-20 22:15:00,待付款
O1054,吴九,结果导出,5,49.9,2026-02-20 22:30:00,已取消
O1055,郑十,预测服务,1,99.9,2026-02-20 22:45:00,处理中
O1056,张三,诊断服务,2,149.9,2026-02-20 23:00:00,已支付
O1057,李四,模型训练,3,199.9,2026-02-20 23:15:00,待付款
O1058,王五,数据评估,4,249.9,2026-02-20 23:30:00,已取消
O1059,赵六,结果导出,5,299.9,2026-02-20 23:45:00,处理中
O1060,孙七,预测服务,1,49.9,2026-02-21 00:00:00,已支付
O1061,周八,诊断服务,2,99.9,2026-02-21 00:15:00,待付款
O1062,吴九,模型训练,3,149.9,2026-02-21 00:30:00,已取消
O1063,郑十,数据评估,4,199.9,2026-02-21 00:45:00,处理中
O1064,张三,结果导出,5,249.9,2026-02-21 01:00:00,已支付
O1065,李四,预测服务,1,299.9,2026-02-21 01:15:00,待付款
O1066,王五,诊断服务,2,49.9,2026-02-21 01:30:00,已取消
O1067,赵六,模型训练,3,99.9,2026-02-21 01:45:00,处理中
O1068,孙七,数据评估,4,149.9,2026-02-21 02:00:00,已支付
O1069,周八,结果导出,5,199.9,2026-02-21 02:15:00,待付款
O1070,吴九,预测服务,1,249.9,2026-02-21 02:30:00,已取消
O1071,郑十,诊断服务,2,299.9,2026-02-21 02:45:00,处理中
O1072,张三,模型训练,3,49.9,2026-02-21 03:00:00,已支付
O1073,李四,数据评估,4,99.9,2026-02-21 03:15:00,待付款
O1074,王五,结果导出,5,149.9,2026-02-21 03:30:00,已取消
O1075,赵六,预测服务,1,199.9,2026-02-21 03:45:00,处理中
O1076,孙七,诊断服务,2,249.9,2026-02-21 04:00:00,已支付
O1077,周八,模型训练,3,299.9,2026-02-21 04:15:00,待付款
O1078,吴九,数据评估,4,49.9,2026-02-21 04:30:00,已取消
O1079,郑十,结果导出,5,99.9,2026-02-21 04:45:00,处理中
O1080,张三,预测服务,1,149.9,2026-02-21 05:00:00,已支付
O1081,李四,诊断服务,2,199.9,2026-02-21 05:15:00,待付款
O1082,王五,模型训练,3,249.9,2026-02-21 05:30:00,已取消
O1083,赵六,数据评估,4,299.9,2026-02-21 05:45:00,处理中
O1084,孙七,结果导出,5,49.9,2026-02-21 06:00:00,已支付
O1085,周八,预测服务,1,99.9,2026-02-21 06:15:00,待付款
O1086,吴九,诊断服务,2,149.9,2026-02-21 06:30:00,已取消
O1087,郑十,模型训练,3,199.9,2026-02-21 06:45:00,处理中
O1088,张三,数据评估,4,249.9,2026-02-21 07:00:00,已支付
O1089,李四,结果导出,5,299.9,2026-02-21 07:15:00,待付款
O1090,王五,预测服务,1,49.9,2026-02-21 07:30:00,已取消
O1091,赵六,诊断服务,2,99.9,2026-02-21 07:45:00,处理中
O1092,孙七,模型训练,3,149.9,2026-02-21 08:00:00,已支付
O1093,周八,数据评估,4,199.9,2026-02-21 08:15:00,待付款
O1094,吴九,结果导出,5,249.9,2026-02-21 08:30:00,已取消
O1095,郑十,预测服务,1,299.9,2026-02-21 08:45:00,处理中
O1096,张三,诊断服务,2,49.9,2026-02-21 09:00:00,已支付
O1097,李四,模型训练,3,99.9,2026-02-21 09:15:00,待付款
O1098,王五,数据评估,4,149.9,2026-02-21 09:30:00,已取消
O1099,赵六,结果导出,5,199.9,2026-02-21 09:45:00,处理中
O1100,孙七,预测服务,1,249.9,2026-02-21 10:00:00,已支付
O1101,周八,诊断服务,2,299.9,2026-02-21 10:15:00,待付款
O1102,吴九,模型训练,3,49.9,2026-02-21 10:30:00,已取消
O1103,郑十,数据评估,4,99.9,2026-02-21 10:45:00,处理中
O1104,张三,结果导出,5,149.9,2026-02-21 11:00:00,已支付
O1105,李四,预测服务,1,199.9,2026-02-21 11:15:00,待付款
O1106,王五,诊断服务,2,249.9,2026-02-21 11:30:00,已取消
O1107,赵六,模型训练,3,299.9,2026-02-21 11:45:00,处理中
O1108,孙七,数据评估,4,49.9,2026-02-21 12:00:00,已支付
O1109,周八,结果导出,5,99.9,2026-02-21 12:15:00,待付款
O1110,吴九,预测服务,1,149.9,2026-02-21 12:30:00,已取消
O1111,郑十,诊断服务,2,199.9,2026-02-21 12:45:00,处理中
O1112,张三,模型训练,3,249.9,2026-02-21 13:00:00,已支付
O1113,李四,数据评估,4,299.9,2026-02-21 13:15:00,待付款
O1114,王五,结果导出,5,49.9,2026-02-21 13:30:00,已取消
O1115,赵六,预测服务,1,99.9,2026-02-21 13:45:00,处理中
O1116,孙七,诊断服务,2,149.9,2026-02-21 14:00:00,已支付
O1117,周八,模型训练,3,199.9,2026-02-21 14:15:00,待付款
O1118,吴九,数据评估,4,249.9,2026-02-21 14:30:00,已取消
O1119,郑十,结果导出,5,299.9,2026-02-21 14:45:00,处理中
O1120,张三,预测服务,1,49.9,2026-02-21 15:00:00,已支付
O1121,李四,诊断服务,2,99.9,2026-02-21 15:15:00,待付款
O1122,王五,模型训练,3,149.9,2026-02-21 15:30:00,已取消
O1123,赵六,数据评估,4,199.9,2026-02-21 15:45:00,处理中
O1124,孙七,结果导出,5,249.9,2026-02-21 16:00:00,已支付
O1125,周八,预测服务,1,299.9,2026-02-21 16:15:00,待付款
O1126,吴九,诊断服务,2,49.9,2026-02-21 16:30:00,已取消
O1127,郑十,模型训练,3,99.9,2026-02-21 16:45:00,处理中
O1128,张三,数据评估,4,149.9,2026-02-21 17:00:00,已支付
O1129,李四,结果导出,5,199.9,2026-02-21 17:15:00,待付款
O1130,王五,预测服务,1,249.9,2026-02-21 17:30:00,已取消
O1131,赵六,诊断服务,2,299.9,2026-02-21 17:45:00,处理中
O1132,孙七,模型训练,3,49.9,2026-02-21 18:00:00,已支付
O1133,周八,数据评估,4,99.9,2026-02-21 18:15:00,待付款
O1134,吴九,结果导出,5,149.9,2026-02-21 18:30:00,已取消
O1135,郑十,预测服务,1,199.9,2026-02-21 18:45:00,处理中
O1136,张三,诊断服务,2,249.9,2026-02-21 19:00:00,已支付
O1137,李四,模型训练,3,299.9,2026-02-21 19:15:00,待付款
O1138,王五,数据评估,4,49.9,2026-02-21 19:30:00,已取消
O1139,赵六,结果导出,5,99.9,2026-02-21 19:45:00,处理中
O1140,孙七,预测服务,1,149.9,2026-02-21 20:00:00,已支付
O1141,周八,诊断服务,2,199.9,2026-02-21 20:15:00,待付款
O1142,吴九,模型训练,3,249.9,2026-02-21 20:30:00,已取消
O1143,郑十,数据评估,4,299.9,2026-02-21 20:45:00,处理中
O1144,张三,结果导出,5,49.9,2026-02-21 21:00:00,已支付
O1145,李四,预测服务,1,99.9,2026-02-21 21:15:00,待付款
O1146,王五,诊断服务,2,149.9,2026-02-21 21:30:00,已取消
O1147,赵六,模型训练,3,199.9,2026-02-21 21:45:00,处理中
O1148,孙七,数据评估,4,249.9,2026-02-21 22:00:00,已支付
O1149,周八,结果导出,5,299.9,2026-02-21 22:15:00,待付款
O1150,吴九,预测服务,1,49.9,2026-02-21 22:30:00,已取消
O1151,郑十,诊断服务,2,99.9,2026-02-21 22:45:00,处理中
O1152,张三,模型训练,3,149.9,2026-02-21 23:00:00,已支付
O1153,李四,数据评估,4,199.9,2026-02-21 23:15:00,待付款
O1154,王五,结果导出,5,249.9,2026-02-21 23:30:00,已取消
O1155,赵六,预测服务,1,299.9,2026-02-21 23:45:00,处理中
O1156,孙七,诊断服务,2,49.9,2026-02-22 00:00:00,已支付
O1157,周八,模型训练,3,99.9,2026-02-22 00:15:00,待付款
O1158,吴九,数据评估,4,149.9,2026-02-22 00:30:00,已取消
O1159,郑十,结果导出,5,199.9,2026-02-22 00:45:00,处理中
O1160,张三,预测服务,1,249.9,2026-02-22 01:00:00,已支付
O1161,李四,诊断服务,2,299.9,2026-02-22 01:15:00,待付款
O1162,王五,模型训练,3,49.9,2026-02-22 01:30:00,已取消
O1163,赵六,数据评估,4,99.9,2026-02-22 01:45:00,处理中
O1164,孙七,结果导出,5,149.9,2026-02-22 02:00:00,已支付
O1165,周八,预测服务,1,199.9,2026-02-22 02:15:00,待付款
O1166,吴九,诊断服务,2,249.9,2026-02-22 02:30:00,已取消
O1167,郑十,模型训练,3,299.9,2026-02-22 02:45:00,处理中
O1168,张三,数据评估,4,49.9,2026-02-22 03:00:00,已支付
O1169,李四,结果导出,5,99.9,2026-02-22 03:15:00,待付款
O1170,王五,预测服务,1,149.9,2026-02-22 03:30:00,已取消
O1171,赵六,诊断服务,2,199.9,2026-02-22 03:45:00,处理中
O1172,孙七,模型训练,3,249.9,2026-02-22 04:00:00,已支付
O1173,周八,数据评估,4,299.9,2026-02-22 04:15:00,待付款
O1174,吴九,结果导出,5,49.9,2026-02-22 04:30:00,已取消
O1175,郑十,预测服务,1,99.9,2026-02-22 04:45:00,处理中
O1176,张三,诊断服务,2,149.9,2026-02-22 05:00:00,已支付
O1177,李四,模型训练,3,199.9,2026-02-22 05:15:00,待付款
O1178,王五,数据评估,4,249.9,2026-02-22 05:30:00,已取消
O1179,赵六,结果导出,5,299.9,2026-02-22 05:45:00,处理中
O1180,孙七,预测服务,1,49.9,2026-02-22 06:00:00,已支付
O1181,周八,诊断服务,2,99.9,2026-02-22 06:15:00,待付款
O1182,吴九,模型训练,3,149.9,2026-02-22 06:30:00,已取消
O1183,郑十,数据评估,4,199.9,2026-02-22 06:45:00,处理中
O1184,张三,结果导出,5,249.9,2026-02-22 07:00:00,已支付
O1185,李四,预测服务,1,299.9,2026-02-22 07:15:00,待付款
O1186,王五,诊断服务,2,49.9,2026-02-22 07:30:00,已取消
O1187,赵六,模型训练,3,99.9,2026-02-22 07:45:00,处理中
O1188,孙七,数据评估,4,149.9,2026-02-22 08:00:00,已支付
O1189,周八,结果导出,5,199.9,2026-02-22 08:15:00,待付款
O1190,吴九,预测服务,1,249.9,2026-02-22 08:30:00,已取消
O1191,郑十,诊断服务,2,299.9,2026-02-22 08:45:00,处理中
O1192,张三,模型训练,3,49.9,2026-02-22 09:00:00,已支付
O1193,李四,数据评估,4,99.9,2026-02-22 09:15:00,待付款
O1194,王五,结果导出,5,149.9,2026-02-22 09:30:00,已取消
O1195,赵六,预测服务,1,199.9,2026-02-22 09:45:00,处理中
O1196,孙七,诊断服务,2,249.9,2026-02-22 10:00:00,已支付
O1197,周八,模型训练,3,299.9,2026-02-22 10:15:00,待付款
O1198,吴九,数据评估,4,49.9,2026-02-22 10:30:00,已取消
O1199,郑十,结果导出,5,99.9,2026-02-22 10:45:00,处理中
O1200,张三,预测服务,1,149.9,2026-02-22 11:00:00,已支付
